Word	Label
మొదలైనవి	telugu
പല	malayalam
অসমৰ	ben_ass
జూనియర్	telugu
ఔషధ	telugu
যদি	ben_ass
జనాభాతో	telugu
సరఫరాల	telugu
అంగన్	telugu
ఇళ్లతో	telugu
See	latin
पर्ने	deva
ప్రత్యామ్నాయ	telugu
ਹੁੰਦੀ	punjabi
కొరియర్	telugu
മികച്ച	malayalam
ਪਹਿਲਾਂ	punjabi
దివ్యాంగుల	telugu
కంకర	telugu
విత్తిన	telugu
చేస్తున్నారు	telugu
ਜੀਵਨ	punjabi
రోజుకు	telugu
మండలం	telugu
बन	deva
హాలు	telugu
সৃষ্টি	ben_ass
થઈ	gujarati
பல்வேறு	tamil
General	latin
ریاست	arabic
పంటలు	telugu
West	latin
along	latin
पूरा	deva
అమలవుతోంది	telugu
ڪنهن	arabic
వస్తువులు	telugu
شمالی	arabic
వినియోగంలో	telugu
woru	latin
వ్యవసాయేతర	telugu
કરતા	gujarati
નામ	gujarati
بے	arabic
ದೊಡ್ಡ	kannada
આવ્યો	gujarati
जे	deva
ಇದೆ	kannada
علاقے	arabic
বর্তমান	ben_ass
மீது	tamil
नई	deva
1973	latin
شاعر	arabic
करके	deva
din	latin
ಇವರು	kannada
મોટા	gujarati
کرکٹ	arabic
राष्ट्र	deva
aaj	latin
ਬਾਰੇ	punjabi
Institute	latin
ਨਾ	punjabi
થી	gujarati
माहिती	deva
অথবা	ben_ass
ഇദ്ദേഹം	malayalam
గుండా	telugu
died	latin
காலத்தில்	tamil
जिल्लाका	deva
संस्कृति	deva
ابو	arabic
فوج	arabic
open	latin
જો	gujarati
ಹಲವು	kannada
صورت	arabic
शासन	deva
سبب	arabic
علاوہ	arabic
ఆమె	telugu
ਸਕੂਲ	punjabi
گڏ	arabic
دونوں	arabic
அறிவியல்	tamil
ಹೆಸರು	kannada
ਜਾਂਦੇ	punjabi
گن	arabic
मुख्यमंत्री	deva
જાય	gujarati
शोध	deva
ਲੇਖਕ	punjabi
دن	arabic
تعداد	arabic
पद	deva
अस्मिन्	deva
ಬಿ	kannada
യു	malayalam
पहिला	deva
राजकारणी	deva
જોવા	gujarati
لا	arabic
ക്ഷേത്രം	malayalam
possible	latin
ਉਸਨੂੰ	punjabi
లోనూ	telugu
మంచినీటి	telugu
ھو	arabic
இடம்	tamil
শ্রেষ্ঠ	ben_ass
ಬೇರೆ	kannada
चर्चा	deva
هر	arabic
২০১৭	ben_ass
रात	deva
ڏنو	arabic
1930	latin
lost	latin
month	latin
வருகிறது	tamil
production	latin
نگار	arabic
இருப்பினும்	tamil
सालमा	deva
ചലച്ചിത്രങ്ങൾ	malayalam
మంది	telugu
मानिसहरू	deva
companies	latin
room	latin
లింకులు	telugu
ਵਲੋਂ	punjabi
ਸਰਕਾਰ	punjabi
మండలంలోని	telugu
போர்	tamil
মুসলিম	ben_ass
صدي	arabic
ਕਰਨਾ	punjabi
air	latin
થયા	gujarati
രണ്ടാം	malayalam
കൂടി	malayalam
سيد	arabic
மே	tamil
કરતાં	gujarati
ਅੰਗਰੇਜ਼ੀ	punjabi
ਫ਼ਿਲਮ	punjabi
બની	gujarati
দ্বাৰা	ben_ass
اوہائیو	arabic
नेतृत्व	deva
நூல்கள்	tamil
looking	latin
Paul	latin
lang	latin
संशोधन	deva
संकेतस्थळ	deva
ಅದೇ	kannada
নয়	ben_ass
योग्य	deva
ರಿಂದ	kannada
کریں	arabic
भाजपा	deva
ग्राम	deva
स्वरूप	deva
బావుల	telugu
ಎಂಬುದು	kannada
ઉપર	gujarati
رهي	arabic
ભારતના	gujarati
ઘણી	gujarati
ਸਿੱਖਿਆ	punjabi
ਆਪ	punjabi
പറഞ്ഞു	malayalam
అయితే	telugu
तत्कालीन	deva
اتر	arabic
situation	latin
লৈ	ben_ass
জাতীয়	ben_ass
മൂന്ന്	malayalam
ਉਸਦੀ	punjabi
ರಾಜಕೀಯ	kannada
ప్రభుత్వం	telugu
२९	deva
బీడు	telugu
കി	malayalam
विधायक	deva
energy	latin
ਪਾਕਿਸਤਾਨ	punjabi
ever	latin
ನಡೆದ	kannada
হত	ben_ass
ഇത്തരം	malayalam
છતાં	gujarati
ਸਿੱਖ	punjabi
birth	latin
పోతోంది	telugu
বই	ben_ass
ترین	arabic
পাঁচ	ben_ass
ഏപ്രിൽ	malayalam
அறங்காவலர்	tamil
తమ	telugu
ദി	malayalam
ਪਾਣੀ	punjabi
চলচ্চিত্ৰ	ben_ass
आंबेडकर	deva
एतत्	deva
ٹیکساس	arabic
நகரம்	tamil
ضرورت	arabic
attack	latin
പോലെ	malayalam
ਕੀ	punjabi
whether	latin
அதற்கு	tamil
جسم	arabic
ਟੀਮ	punjabi
ಎಂ	kannada
সারা	ben_ass
നടത്തിയ	malayalam
ਅੰਦਰ	punjabi
natural	latin
ਵਿਚੋਂ	punjabi
நாடுகள்	tamil
ಇದೇ	kannada
సంవత్సరం	telugu
مثال	arabic
అది	telugu
شائع	arabic
1929	latin
প্রতিষ্ঠা	ben_ass
ਵੱਲੋਂ	punjabi
ਔਰਤਾਂ	punjabi
shows	latin
ప్రజలు	telugu
২০০৩	ben_ass
ఇవి	telugu
ಮತ್ತೆ	kannada
પાસે	gujarati
पात्र	deva
الاقوامی	arabic
ಯಾವ	kannada
joined	latin
سخت	arabic
teams	latin
ইয়াক	ben_ass
அடுத்த	tamil
காண்க	tamil
software	latin
மீட்டர்	tamil
చెరువులు	telugu
આપે	gujarati
continued	latin
موجودہ	arabic
दिखाई	deva
গ্রামের	ben_ass
જીવન	gujarati
کیرولائنا	arabic
వి	telugu
अली	deva
বের	ben_ass
कवी	deva
السلام	arabic
सर्वश्रेष्ठ	deva
چھ	arabic
૧૦	gujarati
جواب	arabic
ആദ്യം	malayalam
bring	latin
1925	latin
قبول	arabic
staff	latin
حال	arabic
সংস্কৃতি	ben_ass
കഥ	malayalam
પહેલા	gujarati
అన్ని	telugu
ਜਾਣਿਆ	punjabi
موقع	arabic
1923	latin
لکھا	arabic
दैनिक	deva
ਵੱਡੇ	punjabi
అంటే	telugu
सैन्य	deva
കാണപ്പെടുന്നു	malayalam
ਅੱਜ	punjabi
शुद्ध	deva
ਹੋਵੇ	punjabi
کونسل	arabic
पाच	deva
parents	latin
എന്നത്	malayalam
தஞ்சாவூர்	tamil
નવા	gujarati
Sir	latin
previous	latin
ਉੱਤਰ	punjabi
علاقوں	arabic
ವರ್ಷದ	kannada
سانچہ	arabic
ورجینیا	arabic
سواءِ	arabic
حد	arabic
ਖਿਡਾਰੀ	punjabi
കേന്ദ്ര	malayalam
simple	latin
writer	latin
ആൻഡ്	malayalam
رکي	arabic
విశాఖపట్నం	telugu
पैसे	deva
ਗੀਤ	punjabi
قدر	arabic
table	latin
इंडियन	deva
ਕ੍ਰਿਕਟ	punjabi
లభిస్తుంది	telugu
نوبل	arabic
किस	deva
मिनट	deva
চীন	ben_ass
ਸੇਵਾ	punjabi
رکيو	arabic
चलते	deva
پاران	arabic
حالات	arabic
characters	latin
खेती	deva
ಸೇರಿದಂತೆ	kannada
ਐਸ	punjabi
ਮੰਤਰੀ	punjabi
শাখা	ben_ass
growth	latin
ಇದರಿಂದ	kannada
గోదావరి	telugu
ಬೆಂಗಳೂರು	kannada
انسانی	arabic
जेल	deva
coach	latin
individual	latin
آبادي	arabic
மேற்பட்ட	tamil
shown	latin
ವಾಣಿಜ್ಯ	kannada
letter	latin
ഇതിനെ	malayalam
সৰু	ben_ass
हात	deva
bar	latin
రాజకీయ	telugu
परिवहन	deva
নিযুক্ত	ben_ass
பொறியியல்	tamil
नंबर	deva
શેરડી	gujarati
दावा	deva
अकरोत्	deva
ਦੱਖਣੀ	punjabi
खेलाडीहरू	deva
ਸ੍ਰੀ	punjabi
پہاڑ	arabic
اسکول	arabic
ਪੰਜ	punjabi
अङ्ग्रेजी	deva
چوندا	arabic
ਬਣਾਉਣ	punjabi
नेटवर्क	deva
टीवी	deva
ਉਸਦਾ	punjabi
જેવાં	gujarati
অবস্থা	ben_ass
काळ	deva
episode	latin
ഗ്രാമപഞ്ചായത്ത്	malayalam
بنانے	arabic
هنن	arabic
மூலமாக	tamil
सक्षम	deva
বল	ben_ass
નીચે	gujarati
बनने	deva
প্রযুক্তি	ben_ass
ফলত	ben_ass
മാത്രമാണ്	malayalam
লা	ben_ass
జిల్లాలో	telugu
فوجی	arabic
চারটি	ben_ass
مصنفین	arabic
सीमित	deva
عدالت	arabic
ਧਾਰਮਿਕ	punjabi
ഔദ്യോഗിക	malayalam
७८	deva
અસર	gujarati
तत्	deva
صوبے	arabic
fight	latin
ਅਧਿਐਨ	punjabi
ಕ್ರಿ	kannada
ਮਨੁੱਖ	punjabi
అదే	telugu
ਐਮ	punjabi
జరిగింది	telugu
೧೦	kannada
complex	latin
અંગે	gujarati
కాకుండా	telugu
महाभारत	deva
ನಡುವಿನ	kannada
ডেস্ক	ben_ass
పశ్చిమ	telugu
తండ్రి	telugu
குழந்தைகள்	tamil
চতুর্থ	ben_ass
રાજા	gujarati
இருப்பதால்	tamil
جائیں	arabic
சேவை	tamil
நிதி	tamil
ਕਿਲੋਮੀਟਰ	punjabi
എഴുതിയ	malayalam
ਲਗਭਗ	punjabi
വിദ്യാഭ്യാസ	malayalam
వచ్చింది	telugu
learning	latin
నటించిన	telugu
तेस्रो	deva
સ્થાનિક	gujarati
ਮਨੁੱਖੀ	punjabi
Another	latin
دوست	arabic
പറയുന്നത്	malayalam
వీరు	telugu
ഭാഗമായി	malayalam
ನೇ	kannada
ਅਧੀਨ	punjabi
ஏழு	tamil
Prehistoric	latin
તેવા	gujarati
ಪ್ರದೇಶದಲ್ಲಿ	kannada
ಹಾಗೆ	kannada
ਅਪ੍ਰੈਲ	punjabi
ಬಹುತೇಕ	kannada
Windows	latin
ਕਦੇ	punjabi
ترجمو	arabic
آمريڪا	arabic
पश्चात	deva
అవుతోంది	telugu
নীতি	ben_ass
ਛੋਟੇ	punjabi
পুরো	ben_ass
मग	deva
سکتی	arabic
మాత్రం	telugu
நூற்றாண்டின்	tamil
الگ	arabic
రైలు	telugu
jan	latin
ಹೇಗೆ	kannada
ಜನವರಿ	kannada
ਆਇਆ	punjabi
திருநெல்வேலி	tamil
demand	latin
kuda	latin
ನೀರಾವರಿ	kannada
સી	gujarati
ਪੱਧਰ	punjabi
આશરે	gujarati
বিশ্বকাপের	ben_ass
Britain	latin
ఎక్కువగా	telugu
ਫਿਲਮਾਂ	punjabi
થતો	gujarati
ਬਾਬਾ	punjabi
ഉണ്ടായിരുന്നു	malayalam
Louis	latin
ਭੌਤਿਕ	punjabi
نبی	arabic
किलोमिटर	deva
ਬਣਿਆ	punjabi
বীর	ben_ass
ویژن	arabic
ವೈದ್ಯಕೀಯ	kannada
भरपूर	deva
યુ	gujarati
கருத்து	tamil
আহমদ	ben_ass
अदालत	deva
کیلئے	arabic
sarkari	latin
कार्यकारी	deva
આંતરરાષ્ટ્રીય	gujarati
పలు	telugu
समारोह	deva
ਚੀਨ	punjabi
૧૪	gujarati
அதனை	tamil
தன்னுடைய	tamil
چھُہ	arabic
ਵਰਗ	punjabi
Services	latin
یافتہ	arabic
लाइन	deva
customers	latin
আছেন	ben_ass
ಪ್ರಮಾಣದಲ್ಲಿ	kannada
انتہائی	arabic
একটু	ben_ass
அமெரிக்காவில்	tamil
حل	arabic
تاريخي	arabic
પ્રદેશમાં	gujarati
eventually	latin
राज्यस्य	deva
பலர்	tamil
చిత్తూరు	telugu
ప్రాంతంలో	telugu
तेजी	deva
দেবী	ben_ass
ಸಂಪರ್ಕ	kannada
ڪجھ	arabic
ഒരേ	malayalam
પુરસ્કાર	gujarati
li	latin
rang	latin
ਨੈਸ਼ਨਲ	punjabi
Muhammad	latin
ತಾಯಿ	kannada
فراہم	arabic
foot	latin
مسائل	arabic
Latin	latin
join	latin
মুখ	ben_ass
equipment	latin
വിവരങ്ങൾ	malayalam
मार्फत	deva
muslim	latin
निवास	deva
fully	latin
भेट	deva
happened	latin
ਕਾਰਜ	punjabi
मन्त्री	deva
श्टब्स्	deva
യൂറോപ്യൻ	malayalam
মালিক	ben_ass
विश्वचषक	deva
Volume	latin
पश्चात्	deva
ਕੁੱਲ	punjabi
நடிகை	tamil
आपली	deva
ന്റെ	malayalam
સ્થળો	gujarati
હાલમાં	gujarati
আবুল	ben_ass
drama	latin
memory	latin
জুড়ে	ben_ass
சூன்	tamil
Members	latin
પૂરી	gujarati
انصاف	arabic
खाजगी	deva
जागा	deva
ఈయన	telugu
ਲੜਾਈ	punjabi
માનવામાં	gujarati
ചലച്ചിത്രം	malayalam
লিমিটেড	ben_ass
Space	latin
তুমি	ben_ass
कार्यों	deva
notes	latin
library	latin
ਪੁਸਤਕ	punjabi
वैद्यकीय	deva
ಬರೆದ	kannada
நாடுகளின்	tamil
তারিখ	ben_ass
فارسي	arabic
പ്രവർത്തനം	malayalam
রূপ	ben_ass
ترقي	arabic
ব্যবসা	ben_ass
ત્યારબાદ	gujarati
ఉండే	telugu
நன்கு	tamil
జూన్	telugu
પડી	gujarati
अमेरिकेच्या	deva
ਸਾਹਿਤਕ	punjabi
വനിതാ	malayalam
لاطینی	arabic
পেতে	ben_ass
രീതി	malayalam
பெற	tamil
சொந்த	tamil
લોકપ્રિય	gujarati
કરવાનો	gujarati
થતા	gujarati
ਬਾਕੀ	punjabi
ਏਸ਼ੀਆ	punjabi
દેશ	gujarati
vehicles	latin
birds	latin
انقلاب	arabic
સુધીમાં	gujarati
فلوریڈا	arabic
લોકોને	gujarati
മാത്രമല്ല	malayalam
निवेश	deva
साना	deva
கேரள	tamil
விளையாட்டுவீரர்	tamil
தனியார்	tamil
ਅੰਤ	punjabi
கிலோமீட்டர்	tamil
கடலூர்	tamil
માટેના	gujarati
தனிப்பட்ட	tamil
વર્ષે	gujarati
ਐਨ	punjabi
علاج	arabic
उपस्थिति	deva
পূর্ণ	ben_ass
نہایت	arabic
notice	latin
ਦੁਨੀਆਂ	punjabi
ਨਗਰ	punjabi
थाले	deva
ஆகஸ்ட்	tamil
दूरसञ्चार	deva
establishments	latin
میکسیکو	arabic
rich	latin
आकर्षण	deva
option	latin
keval	latin
എല്ലാം	malayalam
புதுக்கோட்டை	tamil
scientific	latin
குறைவான	tamil
वडील	deva
কমিশন	ben_ass
போதும்	tamil
ಸ್ವಾತಂತ್ರ್ಯ	kannada
ਬਣਾਈ	punjabi
ભારતની	gujarati
સતત	gujarati
உள்ளூர்	tamil
Francisco	latin
ವಿಧಾನ	kannada
പ്രവർത്തനങ്ങൾ	malayalam
உலகில்	tamil
strength	latin
journey	latin
अरुण	deva
ਆਰ	punjabi
ممکن	arabic
الحکومت	arabic
மையம்	tamil
বাধা	ben_ass
१९८७	deva
शिकायत	deva
ఉన్నత	telugu
انگلستان	arabic
പലപ്പോഴും	malayalam
ਰਿਕਾਰਡ	punjabi
ابی	arabic
ਸੰਬੰਧ	punjabi
سلسلے	arabic
गरेपछि	deva
गो	deva
جاءِ	arabic
વાર	gujarati
referred	latin
علائقن	arabic
بحیرہ	arabic
सकाळी	deva
हिमालय	deva
ڪونه	arabic
ਘਟਨਾ	punjabi
ਵਾਂਗ	punjabi
జనవరి	telugu
امير	arabic
ઐતિહાસિક	gujarati
آتے	arabic
কমে	ben_ass
ਲਾਹੌਰ	punjabi
ਧਿਆਨ	punjabi
పురస్కారం	telugu
ಹೆಸರನ್ನು	kannada
ஆகியவற்றின்	tamil
রাজনীতি	ben_ass
থাকলেও	ben_ass
shooting	latin
৪৫	ben_ass
ਵਾਪਸ	punjabi
Uttar	latin
মেয়ে	ben_ass
مسیحی	arabic
follows	latin
પાડે	gujarati
प्रकारचे	deva
તમે	gujarati
১৯৬৬	ben_ass
kaise	latin
గృహాలు	telugu
ಗಾಳಿ	kannada
مذهب	arabic
unknown	latin
ಬಂದಿದೆ	kannada
लक्ष	deva
sampark	latin
interesting	latin
ahead	latin
করলেও	ben_ass
سورج	arabic
ਸਰੋਤ	punjabi
sakal	latin
ਆਪਣੀਆਂ	punjabi
ਕੇਵਲ	punjabi
ڏسو	arabic
কাজী	ben_ass
જેટલી	gujarati
సాహిత్య	telugu
మరణాలు	telugu
شیر	arabic
پيءُ	arabic
কাঠামো	ben_ass
എന്നിവയും	malayalam
transfer	latin
எதிர்	tamil
ਵੰਡ	punjabi
ਫੀਲਡ	punjabi
విజయనగరం	telugu
સામેલ	gujarati
శక్తి	telugu
টুয়েন্টি২০	ben_ass
ਬਦਲ	punjabi
आर्य	deva
ശക്തമായ	malayalam
সামান্য	ben_ass
تن	arabic
१९७९	deva
கலைஞர்	tamil
ವರ್ಷದಲ್ಲಿ	kannada
പൊതു	malayalam
ವೇಳೆಗೆ	kannada
वाढ	deva
الاقوامي	arabic
ഭാഷയിൽ	malayalam
கொலை	tamil
சிவகங்கை	tamil
ఇదే	telugu
મોટું	gujarati
ਮੁਹੰਮਦ	punjabi
મહત્વની	gujarati
માતા	gujarati
മുഖ്യ	malayalam
ઉચ્ચ	gujarati
तैयारी	deva
খেলে	ben_ass
നാടക	malayalam
ತಮಿಳು	kannada
अभियांत्रिकी	deva
छोरी	deva
कृतः	deva
கிட்டத்தட்ட	tamil
Beach	latin
شہرت	arabic
নেমে	ben_ass
লিখা	ben_ass
দৈর্ঘ্য	ben_ass
رہتا	arabic
ಪಡೆದು	kannada
മി	malayalam
ఇండియా	telugu
புது	tamil
సింగ్	telugu
ਜਿੱਤ	punjabi
નોંધપાત્ર	gujarati
smaller	latin
ઉપયોગમાં	gujarati
वय	deva
لک	arabic
محنت	arabic
असले	deva
vishesh	latin
praia	latin
رہیں	arabic
నాటికి	telugu
என்பன	tamil
సభ్యులు	telugu
കൂടെ	malayalam
ਵਿਰੁੱਧ	punjabi
കോളേജിൽ	malayalam
मै	deva
குரு	tamil
സാംസ്കാരിക	malayalam
মধ্যেই	ben_ass
ನದಿ	kannada
ಕವಿ	kannada
ಕಿಮಿ	kannada
நடந்து	tamil
advice	latin
ಪ್ರಶಸ್ತಿಯನ್ನು	kannada
دنوں	arabic
सुझाव	deva
ಮಾಡಬಹುದು	kannada
সা	ben_ass
ترتيب	arabic
সম্ভাবনা	ben_ass
പക്ഷികൾ	malayalam
सलाह	deva
లేవు	telugu
విజయం	telugu
کولمبیا	arabic
தாக்குதல்	tamil
സെൻസസ്	malayalam
PC	latin
उच्चारण	deva
చేస్తారు	telugu
jisamen	latin
यु	deva
ਸਹਾਇਤਾ	punjabi
সম্পাদনা	ben_ass
കഴിഞ്ഞു	malayalam
విడుదల	telugu
தெரிவித்தார்	tamil
حلقے	arabic
ફરીથી	gujarati
ಹೇಳಿದರು	kannada
પુસ્તક	gujarati
इस्लामी	deva
electronic	latin
તરફથી	gujarati
देशमुख	deva
তেমন	ben_ass
قلم	arabic
ਕੁਦਰਤੀ	punjabi
মুসলমান	ben_ass
దర్శకత్వం	telugu
६५	deva
انهي	arabic
रोचक	deva
ਗਾਂਧੀ	punjabi
ന്ന്	malayalam
ಅಮೆರಿಕ	kannada
ক্ষুদ্র	ben_ass
flag	latin
ಟೆಸ್ಟ್	kannada
मुद्दे	deva
kill	latin
१०००	deva
اولهه	arabic
തായ്	malayalam
நிறுவப்பட்டது	tamil
روشن	arabic
Photo	latin
माध्यमातून	deva
আদালতে	ben_ass
امر	arabic
1872	latin
ಬಣ್ಣ	kannada
ಅಮೆರಿಕದ	kannada
mato	latin
آغا	arabic
జీవిత	telugu
समृद्ध	deva
रहना	deva
ਸਥਾਪਤ	punjabi
das	latin
ٻوليون	arabic
ઘર	gujarati
ಸಂಸ್ಕೃತ	kannada
شوق	arabic
ਪਿੰਡਾਂ	punjabi
വടക്കേ	malayalam
ആര്	malayalam
வட்டத்தில்	tamil
લઇ	gujarati
ਲਾਗੂ	punjabi
সেটি	ben_ass
భారతదేశం	telugu
ഇടയിൽ	malayalam
مہم	arabic
रॉयल	deva
મીટર	gujarati
നാമം	malayalam
ਪਾਤਰ	punjabi
ಜಾಗತಿಕ	kannada
કિમી	gujarati
হিন্দী	ben_ass
देतात	deva
കുറിപ്പുകൾ	malayalam
ৰূপে	ben_ass
शतकात	deva
സ്റ്റേറ്റ്	malayalam
साप्ताहिक	deva
உண்மையான	tamil
బ్రిటిష్	telugu
ਯਾਤਰਾ	punjabi
غور	arabic
wing	latin
ಎಷ್ಟು	kannada
நகரங்கள்	tamil
covers	latin
آپ	arabic
صادق	arabic
vibhinn	latin
duusari	latin
ਦਿਹਾਂਤ	punjabi
ಮರದ	kannada
स्वतन्त्रता	deva
தொலைவிலும்	tamil
ਜਦ	punjabi
কৃষ্ণ	ben_ass
123	latin
ಮಧ್ಯೆ	kannada
ವರ್ಲ್ಡ್	kannada
ਕੜੀਆਂ	punjabi
گردی	arabic
സാങ്കേതിക	malayalam
೦೦೦	kannada
कानूनी	deva
গাছের	ben_ass
قبائل	arabic
કોલેજ	gujarati
সমুদ্র	ben_ass
ನೀರನ್ನು	kannada
113	latin
കൂടിയാണ്	malayalam
દેશોમાં	gujarati
വേൾഡ്	malayalam
દાહોદ	gujarati
નવસારી	gujarati
ڄاڻايل	arabic
ਭਗਤ	punjabi
મુંબઈ	gujarati
प्रसन्न	deva
આસપાસ	gujarati
Stories	latin
જિલ્લા	gujarati
ਦਰਸ਼ਨ	punjabi
ಒಳ್ಳೆಯ	kannada
domain	latin
ਕਲਾਕਾਰ	punjabi
செய்யப்பட்டு	tamil
Assistant	latin
intelligence	latin
ಬಿಳಿ	kannada
نیچے	arabic
બાદમાં	gujarati
সংকলন	ben_ass
समकालीन	deva
പേരു	malayalam
காண	tamil
নবী	ben_ass
عیسوی	arabic
فوٽ	arabic
ਸੰਸਕ੍ਰਿਤ	punjabi
இதழ்கள்	tamil
३९	deva
ಇದರೊಂದಿಗೆ	kannada
Trade	latin
પેદા	gujarati
கடுமையான	tamil
ঘন	ben_ass
രാജ്യങ്ങളിൽ	malayalam
रेड	deva
ರನ್ನು	kannada
تجارت	arabic
થશે	gujarati
প্ৰতিষ্ঠান	ben_ass
സ്വാധീനം	malayalam
প্রতিরোধ	ben_ass
جناح	arabic
ಹಾಗಾಗಿ	kannada
ಉಂಟು	kannada
நகரின்	tamil
പെട്ട	malayalam
పూర్తిగా	telugu
لوک	arabic
പ്രത്യേകം	malayalam
स्व	deva
آيل	arabic
കേന്ദ്രം	malayalam
ਸਿਰ	punjabi
ਟਾਪੂ	punjabi
भेद	deva
لطيف	arabic
ಮಸೀದಿ	kannada
ഭൂമി	malayalam
તેનાથી	gujarati
కుమార్	telugu
இவன்	tamil
तरीका	deva
ಭಾಗದ	kannada
ਮਿੱਟੀ	punjabi
અંતરે	gujarati
ਸਮੁੰਦਰੀ	punjabi
نامور	arabic
ഭാഗമാണ്	malayalam
કદાચ	gujarati
நிகழ்ச்சி	tamil
కాక	telugu
Nov	latin
খেলতে	ben_ass
কাউন্সিল	ben_ass
തുടര്	malayalam
உருவாக்க	tamil
திரைப்படங்களில்	tamil
Yadav	latin
विना	deva
डि	deva
ਲਾ	punjabi
అప్పటి	telugu
કરનાર	gujarati
કરશે	gujarati
वस्तू	deva
ವಸ್ತುಗಳ	kannada
ਕਰਦਿਆਂ	punjabi
ഉള്ളത്	malayalam
تعليمي	arabic
AC	latin
கவனம்	tamil
ಒಳಗೆ	kannada
તેવું	gujarati
ਵਧ	punjabi
ముఖ్య	telugu
অবস্থানের	ben_ass
لیتے	arabic
ఖమ్మం	telugu
காட்டிலும்	tamil
ਮੇਰੇ	punjabi
ਸਹੀ	punjabi
যাওয়া	ben_ass
विंडोज	deva
ഇപ്പോഴത്തെ	malayalam
ಉತ್ಪಾದನೆ	kannada
ಈರುಳ್ಳಿ	kannada
ਯੋਗ	punjabi
سمجھ	arabic
তিনিটা	ben_ass
ফাইনালে	ben_ass
স্পষ্ট	ben_ass
ਜਿਸਦੇ	punjabi
வழங்கி	tamil
पुरस्कृत	deva
യും	malayalam
ਪਿਛਲੇ	punjabi
ডা	ben_ass
ലഭ്യമാണ്	malayalam
ಸೂಕ್ತ	kannada
പുറത്തേയ്ക്കുള്ള	malayalam
allowing	latin
மாரியம்மன்	tamil
Punjabi	latin
దానికి	telugu
ആരംഭിച്ചത്	malayalam
